,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,1af7167f-f8ad-4c4f-a6b1-9b84d26cb939,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Visual cukup memanjakan mata, salah satu game open world dengan penulisan story yang sangat baik, soundtrack dan BGM gamenya juga enak enak didenger, desain karakter bagus bagus meski kalo desain mungkin adiknya yang turn base masih lebih bagus, pokoknya top lah cuman saran aja sih tolong lebih dengerin masukan dari para pemain. Buat masukan fitur skip gw kurang setuju kecuali diterapkan ketika dialognya kurang penting atau pas lagi side quest",5,57,5.4.0_30057195_30231699,2025-02-12 07:39:48,,,5.4.0_30057195_30231699
1,f3c3d00d-2902-439a-ac07-689b0accd777,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sebenernya ini adalah game yang bagus, Lore nya bagus banget dan menarik, gameplay nya yg santai dan pemandangan yang indah bikin gw chill. Cmn yang jadi masalahnya itu pembawaan cerita nya yang terlalu banyak pembicaraan gak penting, ini yg buat gw bingung Ama story utama nya. Trus reward eksplorasi yang gak sesuai, yang bikin orang males Explore.",5,22,5.4.0_30057195_30231699,2025-02-13 13:54:29,,,5.4.0_30057195_30231699
2,943c249a-366a-4d12-897c-61f9a5f835bd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"semua yg berkembang dari 4.0 hingga sekarang sudah bisa di rasakan, dari segi reward, chest, misi harian, puzzle, dll sudah terbilang mudah tapi kendalanya ada di percakapan yg teraaamat panjaaaaang saya dibuat ngantuk , sampai sering ketiduran kalo bisa, tolong tambahkan fitur skip percakapan agar bisa lebih menghemat waktu seperti game lainnya.. sekian, terimakasih. Nanashop",5,6,5.4.0_30057195_30231699,2025-02-12 10:16:33,,,5.4.0_30057195_30231699
3,74d78d7c-74c6-4852-a2d3-aaa8267e1c79,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"banyak yang rating rendah soal obrolan yg berkepanjangan, tapi bagi saya tiap dialog nya malah makin menunjukkan maksud developer dari game tsb, lagipula yg mau tudep mission itu kebanyakan cuma mau reward nya, namanya jga usaha sabar dikit napa lah. terus apa coba hubungannya wibu sama dialog, ngaco anjir 😭😭 Btw mantap develop, gamenya udah bagus, mungkin terkadang bug ketika tercegat diantara pohon"" gitu. Tolong diperbaiki, tapi ga terlalu masalah jga sih, so far so good. 🤗🫰🏻",5,55,5.4.0_30057195_30231699,2025-02-12 11:51:20,,,5.4.0_30057195_30231699
4,5871a4a1-11c2-4469-9cea-78d96bdf18f9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Gamenya sudah bagus tapi kadang pas lagi main suka reconnect tiba-tiba padahal saya menggunakan wifi, apalagi kalau lagi di domain atau dialog panjang lalu reconnect, itu dari ulang lagi. Tolong juga adakah fitur skip di side quest biar gak dengerin dialog yang terlalu banyak. Sama imbangi rasio karakter yang dirilis jangan terlalu banyak karakter perempuan.",1,62,5.4.0_30057195_30231699,2025-02-15 07:11:12,,,5.4.0_30057195_30231699
5,6ef6b022-c6b5-4a87-a521-e3efa69c6877,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Download ini ekspetasi gw bakal petualang sama ada actionnya dan multiplayernya macam MMO. Ternyata oh ternyata malah kayak game visual storytelling, mana gak bisa diskip pula. Terus system build char dan itemnya pake metode game Facebook, energi abis jadi gak bisa kumpulin material. Tapi masih bisa dimaenin buat bertualang, sayangnya actionnya kurang kebangetan. Udah main ini mungkin lebih dari 6 bulan. Mau kasih rate 2.5, tapi gak bisa, ya kasih 3 aja deh. Padahal punya potensial nih game.",3,4,5.4.0_30057195_30231699,2025-02-13 02:48:38,,,5.4.0_30057195_30231699
6,e41742a2-eabb-471b-8653-8e48c2f80743,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Jendela quest di pojok kiri atas peta di versi terbaru sangat mengganggu buat explorer seperti saya. Quest story udah tersedia di menu quest, menu di profil, menu di buku petunjuk, sama tanda 🔸 di peta masa masih kurang sih, aampai harus bikin gambar besar di peta segala",3,4,5.4.0_30057195_30231699,2025-02-12 20:24:59,,,5.4.0_30057195_30231699
7,1ee72d42-260e-4c79-8906-e3bd99bd6d94,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"game terbaik menyediakan map yang luas, bebas mau ngapain. mengupgrade senjata, karakter dll. masalah story dan dialog yang lama itu lah kesan nya emang game ini di buat untuk story dengan pemandangan nya bagus dan pertarungan nya juga menantang , buat lu yang ngerasa banyak dialog lah apa lah, gak usah main deh lu, game itu untuk di nikmati setiap progres dan perjalan nya.",5,4,5.4.0_30057195_30231699,2025-02-12 10:08:14,,,5.4.0_30057195_30231699
8,2a7a586d-6489-4d9a-9af5-d4a03ee9ba04,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Yg ku tidak suka hanya bagian ini! Saat mendapatkan karakter jadinya karakter kita ada 2! Trus perubahan karakter menggunakan visual ganti orang! Jadinya kelihatan tidak natural! Coba kalau ganti orang, karakter lain mengikuti di belakang untuk bagian menjelajah! Kecuali bertemu dengan player lain! Agar efek visual nya terasa nyata. Saat bertarung dengan monster! Karakter yg mengikuti juga ikut bertarung! Dan bisa berubah-ubah sesuai keinginan pemain untuk pengendaliannya.",5,0,5.4.0_30057195_30231699,2025-02-17 17:07:43,,,5.4.0_30057195_30231699
9,07b0fb77-7b5f-48b5-9c5c-2117fd1c6d31,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Game yang bagus dari segi cerita,grafik,dan desain karakter. Memang sih ceritanya beberapa bikin ngantuk apalagi world quest tapi itu ga semua kok, untuk grafik udh bagus banget sih,lalu desain karakter nya juga bagus². Untuk sekarang sih udh puas banget mainnya gua ga pernah ngalamin patah² meskipun wifi gua 100k doang (ya itu juga grafik nya paling rendah semua sih)",5,3,5.4.0_30057195_30231699,2025-02-12 13:24:47,,,5.4.0_30057195_30231699
